row,col,z
3,2,2
4,3,3
5,4,4
6,5,5
7,6,6
8,7,7
9,8,8
10,9,9
11,10,10
12,11,11
13,12,12
14,13,13
15,14,14
16,15,14
17,16,14
18,17,14
18,18,14
18,19,14
18,20,14
18,21,14
18,22,14
18,23,14
18,24,14
18,25,14
18,26,14
18,27,14
18,28,14
18,29,14
17,17,14
18,16,14
17,18,14
17,19,14
17,20,14
17,21,14
17,22,14
17,23,14
17,24,14
17,25,14
17,26,14
17,27,14
17,28,14
17,29,14
16,16,14
17,15,14
16,17,14
18,15,14
16,18,14
16,19,14
16,20,14
16,21,14
16,22,14
16,23,14
16,24,14
16,25,14
16,26,14
16,27,14
16,28,14
16,29,14
18,17,13
18,18,13
18,19,13
18,20,13
18,21,13
18,22,13
18,23,13
18,24,13
18,25,13
18,26,13
18,27,13
18,28,13
18,29,13
19,18,14
19,19,14
19,20,14
19,21,14
19,22,14
19,23,14
19,24,14
19,25,14
19,26,14
19,27,14
19,28,14
19,29,14
15,15,14
16,14,14
15,16,14
17,14,14
15,17,14
18,14,14
15,18,14
15,19,14
15,20,14
15,21,14
15,22,14
15,23,14
15,24,14
15,25,14
15,26,14
15,27,14
15,28,14
15,29,14
17,26,13
17,27,13
17,28,13
17,29,13
17,16,13
17,17,13
18,16,13
17,18,13
17,19,13
17,20,13
17,21,13
17,22,13
17,23,13
17,24,13
17,25,13
18,30,14
19,17,14
14,14,14
15,13,14
15,14,13
16,15,13
16,16,13
17,15,13
16,17,13
18,15,13
16,18,13
16,19,13
16,20,13
16,21,13
16,22,13
16,23,13
16,24,13
16,25,13
16,26,13
16,27,13
16,28,13
16,29,13
14,15,14
16,13,14
15,15,13
16,14,13
14,16,14
17,13,14
15,16,13
17,14,13
14,17,14
18,13,14
15,17,13
18,14,13
14,18,14
15,18,13
14,19,14
15,19,13
14,20,14
15,20,13
14,21,14
15,21,13
14,22,14
15,22,13
14,23,14
15,23,13
14,24,14
15,24,13
14,25,14
15,25,13
14,26,14
15,26,13
14,27,14
15,27,13
14,28,14
15,28,13
14,29,14
15,29,13
17,30,14
19,16,14
17,16,12
18,17,12
18,18,12
18,19,12
18,20,12
18,21,12
18,22,12
18,23,12
18,24,12
18,25,12
18,26,12
18,27,12
18,28,12
18,29,12
17,17,12
18,16,12
17,18,12
17,19,12
17,20,12
17,21,12
17,22,12
17,23,12
17,24,12
17,25,12
17,26,12
17,27,12
17,28,12
17,29,12
19,25,13
19,26,13
19,27,13
19,28,13
19,29,13
19,18,13
19,19,13
19,20,13
19,21,13
19,22,13
19,23,13
19,24,13
20,19,14
20,20,14
20,21,14
20,22,14
20,23,14
20,24,14
20,25,14
20,26,14
20,27,14
20,28,14
20,29,14
14,13,14
14,14,13
15,13,13
14,15,13
16,13,13
14,16,13
17,13,13
14,17,13
18,13,13
14,18,13
14,19,13
14,20,13
14,21,13
14,22,13
14,23,13
14,24,13
14,25,13
14,26,13
14,27,13
14,28,13
14,29,13
19,15,14
16,30,14
16,15,12
16,16,12
17,15,12
16,17,12
18,15,12
16,18,12
16,19,12
16,20,12
16,21,12
16,22,12
16,23,12
16,24,12
16,25,12
16,26,12
16,27,12
16,28,12
16,29,12
19,16,13
17,30,13
19,17,13
18,30,13
18,17,11
18,18,11
18,19,11
18,20,11
18,21,11
18,22,11
18,23,11
18,24,11
18,25,11
18,26,11
18,27,11
18,28,11
18,29,11
19,30,14
20,18,14
19,18,12
19,19,12
19,20,12
19,21,12
19,22,12
19,23,12
19,24,12
19,25,12
19,26,12
19,27,12
19,28,12
19,29,12
13,13,13
13,14,14
13,15,14
13,16,14
13,17,14
13,18,14
13,19,14
13,20,14
13,21,14
13,22,14
13,23,14
13,24,14
13,25,14
13,26,14
13,27,14
13,28,14
13,29,14
14,12,13
15,12,14
16,12,14
17,12,14
18,12,14
14,13,12
15,14,12
15,15,12
16,14,12
15,16,12
17,14,12
15,17,12
18,14,12
15,18,12
15,19,12
15,20,12
15,21,12
15,22,12
15,23,12
15,24,12
15,25,12
15,26,12
15,27,12
15,28,12
15,29,12
13,13,14
13,14,13
14,12,14
15,12,13
14,14,12
15,13,12
13,15,13
16,12,13
14,15,12
16,13,12
13,16,13
17,12,13
14,16,12
17,13,12
13,17,13
18,12,13
14,17,12
18,13,12
13,18,13
14,18,12
13,19,13
14,19,12
13,20,13
14,20,12
13,21,13
14,21,12
13,22,13
14,22,12
13,23,13
14,23,12
13,24,13
14,24,12
13,25,13
14,25,12
13,26,13
14,26,12
13,27,13
14,27,12
13,28,13
14,28,12
13,29,13
14,29,12
15,30,14
19,14,14
16,30,13
16,26,11
17,27,11
17,28,11
17,29,11
16,27,11
16,28,11
16,29,11
17,26,11
19,15,13
16,15,11
17,16,11
17,17,11
18,16,11
17,18,11
17,19,11
17,20,11
17,21,11
17,22,11
17,23,11
17,24,11
17,25,11
16,16,11
17,15,11
16,17,11
18,15,11
16,18,11
16,19,11
16,20,11
16,21,11
16,22,11
16,23,11
16,24,11
16,25,11
18,28,10
18,29,10
18,30,12
18,24,10
18,25,10
18,26,10
18,27,10
20,17,14
19,17,12
18,17,10
18,18,10
18,19,10
18,20,10
18,21,10
18,22,10
18,23,10
20,26,13
20,27,13
20,28,13
20,29,13
20,23,13
20,24,13
20,25,13
20,19,13
20,20,13
20,21,13
20,22,13
13,12,13
13,13,12
14,12,12
13,12,14
13,14,12
15,12,12
13,15,12
16,12,12
13,16,12
17,12,12
13,17,12
18,12,12
13,18,12
13,19,12
13,20,12
13,21,12
13,22,12
13,23,12
13,24,12
13,25,12
13,26,12
13,27,12
13,28,12
13,29,12
14,30,14
15,30,13
19,13,14
19,14,13
12,14,14
15,11,14
15,14,11
12,15,14
16,11,14
15,15,11
16,14,11
12,16,14
17,11,14
15,16,11
17,14,11
12,17,14
18,11,14
15,17,11
18,14,11
12,18,14
15,18,11
12,19,14
15,19,11
12,20,14
15,20,11
12,21,14
15,21,11
12,22,14
15,22,11
12,23,14
15,23,11
12,24,14
15,24,11
12,25,14
15,25,11
12,26,14
15,26,11
12,27,14
15,27,11
12,28,14
15,28,11
12,29,14
15,29,11
19,15,12
16,30,12
19,16,12
17,30,12
17,27,10
17,28,10
17,29,10
20,16,14
17,16,10
17,17,10
18,16,10
17,18,10
17,19,10
17,20,10
17,21,10
17,22,10
17,23,10
17,24,10
17,25,10
17,26,10
18,30,11
20,17,13
20,18,13
19,17,11
19,18,11
19,19,11
19,20,11
19,21,11
19,22,11
19,23,11
19,24,11
19,25,11
19,26,11
19,27,11
19,28,11
19,29,11
19,30,13
20,19,12
20,20,12
20,21,12
20,22,12
20,23,12
20,24,12
20,25,12
20,26,12
20,27,12
20,28,12
20,29,12
12,12,12
12,13,13
12,13,14
12,14,13
12,15,13
12,16,13
12,17,13
12,18,13
12,19,13
12,20,13
12,21,13
12,22,13
12,23,13
12,24,13
12,25,13
12,26,13
12,27,13
12,28,13
12,29,13
13,11,12
14,11,13
14,11,14
15,11,13
16,11,13
17,11,13
18,11,13
13,12,11
14,13,11
14,14,11
15,13,11
14,15,11
16,13,11
14,16,11
17,13,11
14,17,11
18,13,11
14,18,11
14,19,11
14,20,11
14,21,11
14,22,11
14,23,11
14,24,11
14,25,11
14,26,11
14,27,11
14,28,11
14,29,11
12,12,13
12,13,12
13,11,13
14,11,12
13,13,11
14,12,11
12,12,14
12,14,12
13,11,14
15,11,12
13,14,11
15,12,11
12,15,12
16,11,12
13,15,11
16,12,11
12,16,12
17,11,12
13,16,11
17,12,11
12,17,12
18,11,12
13,17,11
18,12,11
12,18,12
13,18,11
12,19,12
13,19,11
12,20,12
13,20,11
12,21,12
13,21,11
12,22,12
13,22,11
12,23,12
13,23,11
12,24,12
13,24,11
12,25,12
13,25,11
12,26,12
13,26,11
12,27,12
13,27,11
12,28,12
13,28,11
12,29,12
13,29,11
19,13,13
14,30,13
11,28,14
11,29,14
13,30,14
15,28,10
16,29,10
15,29,10
15,30,12
16,28,10
19,12,14
19,14,12
11,14,14
11,15,14
11,16,14
11,17,14
11,18,14
11,19,14
11,20,14
11,21,14
11,22,14
11,23,14
11,24,14
11,25,14
11,26,14
11,27,14
15,10,14
16,10,14
17,10,14
18,10,14
15,14,10
16,15,10
16,16,10
17,15,10
16,17,10
18,15,10
16,18,10
16,19,10
16,20,10
16,21,10
16,22,10
16,23,10
16,24,10
16,25,10
16,26,10
16,27,10
15,15,10
16,14,10
15,16,10
17,14,10
15,17,10
18,14,10
15,18,10
15,19,10
15,20,10
15,21,10
15,22,10
15,23,10
15,24,10
15,25,10
15,26,10
15,27,10
20,15,14
