step,row,col,z,cumlen
0,18,29,25,0
1,17,29,25,1
2,16,29,25,2
3,15,29,25,3
4,14,29,25,4
5,13,29,25,5
6,12,29,25,6
7,11,29,25,7
8,10,29,25,8
9,9,29,25,9
10,8,29,25,10
11,7,29,24,11.4142135623731
12,6,29,23,12.8284271247462
13,7,29,22,14.2426406871193
14,8,29,22,15.2426406871193
15,9,29,21,16.6568542494924
16,10,29,20,18.0710678118655
17,11,29,19,19.4852813742386
18,12,28,18,21.2173321818075
19,13,27,17,22.9493829893763
20,14,26,16,24.6814337969452
21,15,25,15,26.4134846045141
22,15,24,14,27.8276981668872
23,15,23,14,28.8276981668872
24,15,22,14,29.8276981668872
25,15,21,14,30.8276981668872
26,15,20,14,31.8276981668872
27,15,19,14,32.8276981668872
28,15,18,14,33.8276981668872
29,15,17,14,34.8276981668872
30,15,16,14,35.8276981668872
31,15,15,14,36.8276981668872
32,15,14,14,37.8276981668872
33,14,13,13,39.5597489744561
34,13,12,12,41.2917997820249
35,12,11,11,43.0238505895938
36,11,10,10,44.7559013971627
37,10,9,9,46.4879522047316
38,9,8,8,48.2200030123004
39,8,7,7,49.9520538198693
40,7,6,6,51.6841046274382
41,6,5,5,53.4161554350071
42,5,4,4,55.1482062425759
43,4,3,3,56.8802570501448
44,3,2,2,58.6123078577137
