rat,operator,speed_bucket,file,mean,median,std,count
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_ch_iw_tti_0.csv,0.3048448732189172,0.28018073940135557,0.11828407038930985,32315
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.3141961237161437,0.2890253173521928,0.12318849560357893,23753
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.32735411352720345,0.2965571285399356,0.1183239258645657,41106
5G,Iliad/Wind,inside,5G/location_1_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.3212353225339538,0.2916683028814652,0.11801955422964136,49939
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_ch_iw_tti_0.csv,0.48356469816609815,0.4615932290700011,0.1871905374630718,39522
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.37895676817608115,0.34163331818992987,0.16010950948041397,55013
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_it_iw_tti_0.csv,0.4927705745712455,0.46999217591996134,0.18518311107587532,32767
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.38689959339742264,0.3520307752751979,0.16445470805529502,32933
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_se_iw_tti_0.csv,0.49193987353012397,0.4625094516216028,0.18601961901065495,35611
5G,Iliad/Wind,inside,5G/location_2_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.38716665825635493,0.3533542107652453,0.16712002152699523,40322
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_ch_iw_tti_0.csv,0.42146131421008964,0.3974618806540848,0.14449772054073248,30029
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_ch_iw_tti_lte_only_0.csv,0.3851983503872044,0.38859072426300173,0.12988736972897422,34750
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_it_iw_tti_0.csv,0.44288751401943355,0.451975036931262,0.14003646477676457,29562
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_it_iw_tti_lte_only_0.csv,0.41318941719759594,0.4169629977966928,0.12229172431840478,32674
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_se_iw_tti_0.csv,0.4284603457669192,0.421211687035209,0.14509298596158168,29681
5G,Iliad/Wind,inside,5G/location_8_is_interactivity_egaming_se_iw_tti_lte_only_0.csv,0.41324608643218996,0.41165941960351865,0.12025518104607374,40311
5G,Iliad/Wind,od_fast,5G/location_7_od_interactivity_egaming_ch_iw_tti_0.csv,0.4961591126839462,0.48708683695121374,0.15989082080473616,21686
