Participant_ID;Latency;Run_Number;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body
1;0ms;10;4;1
1;50ms;3;4;1
1;100ms;6;4;1
1;150ms;5;4;1
1;200ms;2;3;1
5;0ms;4;5;1
5;50ms;7;5;1
5;100ms;6;5;2
5;150ms;2;5;2
5;200ms;3;5;2
6;0ms;10;3;3
6;50ms;4;3;3
6;100ms;1;3;2
6;150ms;8;2;2
6;200ms;6;3;4
7;0ms;4;4;2
7;50ms;3;3;2
7;100ms;7;4;4
7;150ms;8;4;3
7;200ms;5;3;3
8;0ms;2;4;3
8;50ms;3;5;3
8;100ms;1;3;3
8;150ms;6;4;3
8;200ms;4;2;2
9;0ms;1;5;4
9;50ms;6;5;4
9;100ms;4;4;3
9;150ms;5;4;3
9;200ms;2;4;2
10;0ms;9;2;3
10;50ms;2;5;4
10;100ms;7;4;4
10;150ms;8;2;2
10;200ms;1;3;2
12;0ms;3;4;3
12;50ms;4;3;2
12;100ms;1;5;4
12;150ms;5;3;3
12;200ms;2;2;2
13;0ms;3;3;2
13;50ms;5;3;2
13;100ms;4;4;3
13;150ms;1;3;3
13;200ms;2;3;2
14;0ms;2;4;4
14;50ms;1;5;5
14;100ms;4;5;3
14;150ms;5;4;4
14;200ms;3;5;4
15;0ms;4;5;4
15;50ms;3;5;4
15;100ms;5;5;4
15;150ms;2;5;3
15;200ms;8;5;4
16;0ms;5;5;2
16;50ms;4;5;3
16;100ms;2;5;2
16;150ms;3;5;4
16;200ms;1;5;4
17;0ms;4;5;2
17;50ms;1;5;2
17;100ms;2;5;2
17;150ms;7;5;4
17;200ms;3;4;1
18;0ms;6;5;2
18;50ms;2;5;3
18;100ms;5;4;2
18;150ms;3;5;2
18;200ms;1;5;3
19;0ms;5;4;2
19;50ms;3;4;3
19;100ms;4;4;3
19;150ms;1;5;3
19;200ms;7;3;2
20;0ms;5;4;3
20;50ms;4;5;3
20;100ms;3;4;3
20;150ms;7;4;3
20;200ms;6;4;3
21;0ms;9;5;3
21;50ms;7;5;4
21;100ms;6;3;2
21;150ms;5;3;2
21;200ms;4;5;4
22;0ms;7;5;4
22;50ms;8;5;4
22;100ms;13;5;5
22;150ms;4;5;4
22;200ms;6;4;4
24;0ms;6;5;5
24;50ms;5;5;5
24;100ms;7;5;4
24;150ms;4;4;4
24;200ms;3;5;4
25;0ms;2;4;4
25;50ms;1;4;4
25;100ms;6;3;2
25;150ms;3;3;2
25;200ms;5;3;1
26;0ms;7;3;3
26;50ms;10;3;2
26;100ms;5;4;3
26;150ms;8;4;2
26;200ms;2;3;3
27;0ms;5;5;2
27;50ms;2;4;3
27;100ms;1;4;3
27;150ms;4;5;4
27;200ms;6;2;1
28;0ms;4;4;1
28;50ms;1;4;2
28;100ms;6;4;1
28;150ms;3;5;3
28;200ms;2;3;1
29;0ms;1;5;4
29;50ms;2;5;2
29;100ms;3;4;1
29;150ms;4;4;2
29;200ms;6;4;2
30;0ms;1;4;2
30;50ms;4;3;3
30;100ms;2;3;3
30;150ms;3;4;3
30;200ms;5;3;2
31;0ms;6;4;2
31;50ms;2;2;1
31;100ms;7;4;2
31;150ms;4;4;3
31;200ms;5;4;3
34;0ms;5;4;5
34;50ms;4;4;5
34;100ms;1;5;5
34;150ms;3;5;5
34;200ms;2;4;5
35;0ms;5;4;3
35;50ms;3;3;2
35;100ms;1;4;3
35;150ms;6;4;2
35;200ms;4;4;3
36;0ms;1;4;2
36;50ms;6;5;3
36;100ms;2;5;4
36;150ms;7;5;4
36;200ms;4;5;3
37;0ms;7;4;3
37;50ms;1;4;3
37;100ms;9;3;3
37;150ms;2;4;4
37;200ms;4;4;4
38;0ms;2;5;4
38;50ms;1;5;4
38;100ms;5;4;3
38;150ms;6;5;4
38;200ms;8;5;4
