Participant,0ms,50ms,100ms,150ms,200ms
1,None,169.5,180.4,218.5,413.1
5,146.8,135.6,294.0,206.1,205.8
6,None,264.2,129.2,204.1,175.4
7,203.8,522.8,298.6,None,197.8
8,148.3,190.3,160.6,None,155.2
9,121.6,None,172.7,120.3,129.3
10,112.5,136.6,771.9,150.7,102.3
12,73.0,90.4,79.4,83.1,88.0
13,144.2,128.9,158.2,175.4,209.6
14,90.6,91.0,92.8,74.5,99.5
15,73.5,78.2,70.0,133.3,248.6
16,58.3,81.8,72.5,83.4,106.9
17,111.9,149.7,153.0,None,142.3
18,76.6,115.9,192.2,118.9,117.4
19,81.2,185.1,89.0,107.2,157.8
20,127.6,150.4,282.3,96.8,240.5
21,194.0,122.3,132.7,114.1,614.1
22,216.6,141.7,None,315.4,237.6
24,78.0,102.9,65.0,67.7,169.4
25,101.7,118.2,101.9,96.8,205.5
26,183.5,155.7,400.5,143.6,178.5
27,87.6,118.3,106.2,173.5,82.9
28,91.8,133.0,135.5,120.8,117.1
29,87.2,87.7,109.7,90.5,140.7
30,102.1,101.0,121.4,121.0,109.4
31,79.9,142.8,73.4,175.3,94.7
34,58.5,84.2,105.0,96.5,83.3
35,93.1,209.7,146.6,122.3,134.3
36,127.5,251.8,146.5,None,118.7
37,350.8,137.7,205.8,158.5,299.5
38,57.7,126.7,197.9,61.3,None
