question,latency_a,latency_b,mean_a,mean_b,mean_diff_a_minus_b,t_stat,df,p_raw,p_holm,significant_0.05,significant_0.01,significant_0.001,significant_at_alpha,effect_size_dz
I felt like I was controlling the movement of the robot,0ms,50ms,4.225806451612903,4.225806451612903,0.0,0.0,30,1.0,1.0,False,False,False,,0.0
I felt like I was controlling the movement of the robot,0ms,100ms,4.225806451612903,4.129032258064516,0.09677419354838701,0.6192921178835779,30,0.5403989216251415,1.0,False,False,False,,0.1112281478752811
I felt like I was controlling the movement of the robot,0ms,150ms,4.225806451612903,4.129032258064516,0.09677419354838701,0.7694837640638656,30,0.44762280506159235,1.0,False,False,False,,0.13820336384939017
I felt like I was controlling the movement of the robot,0ms,200ms,4.225806451612903,3.774193548387097,0.45161290322580605,2.8303531904271777,30,0.0082183631165543,0.082183631165543,False,False,False,,0.5083464396091193
I felt like I was controlling the movement of the robot,50ms,100ms,4.225806451612903,4.129032258064516,0.09677419354838701,0.5507910552258941,30,0.5858556352941586,1.0,False,False,False,,0.09892499382749276
I felt like I was controlling the movement of the robot,50ms,150ms,4.225806451612903,4.129032258064516,0.09677419354838701,0.5160156871153361,30,0.6096260500460418,1.0,False,False,False,,0.09267915333490373
I felt like I was controlling the movement of the robot,50ms,200ms,4.225806451612903,3.774193548387097,0.45161290322580605,2.7178915860215676,30,0.01080807374490884,0.09727266370417957,False,False,False,,0.48814773918343396
I felt like I was controlling the movement of the robot,100ms,150ms,4.129032258064516,4.129032258064516,0.0,0.0,30,1.0,1.0,False,False,False,,0.0
I felt like I was controlling the movement of the robot,100ms,200ms,4.129032258064516,3.774193548387097,0.35483870967741904,2.0788046015507495,30,0.04628441953942329,0.37027535631538633,False,False,False,,0.3733643283161719
I felt like I was controlling the movement of the robot,150ms,200ms,4.129032258064516,3.774193548387097,0.35483870967741904,1.880960312156116,30,0.06971528389346468,0.48800698725425273,False,False,False,,0.337830444965176
It felt like the robot was part of my body,0ms,50ms,2.838709677419355,2.967741935483871,-0.12903225806451601,-0.9410679338329201,30,0.35418660630684917,1.0,False,False,False,,-0.1690207904837746
It felt like the robot was part of my body,0ms,100ms,2.838709677419355,2.870967741935484,-0.032258064516129004,-0.1663588793926177,30,0.8689906982444583,1.0,False,False,False,,-0.02987893677814693
It felt like the robot was part of my body,0ms,150ms,2.838709677419355,3.0,-0.16129032258064502,-0.7572281660192284,30,0.45481988870271717,1.0,False,False,False,,-0.13600219346106435
It felt like the robot was part of my body,0ms,200ms,2.838709677419355,2.7419354838709675,0.09677419354838745,0.5009285059065214,30,0.6200771439973195,1.0,False,False,False,,0.08996941559716187
It felt like the robot was part of my body,50ms,100ms,2.967741935483871,2.870967741935484,0.09677419354838701,0.5009285059065213,30,0.6200771439973196,1.0,False,False,False,,0.08996941559716186
It felt like the robot was part of my body,50ms,150ms,2.967741935483871,3.0,-0.032258064516129004,-0.1663588793926177,30,0.8689906982444583,1.0,False,False,False,,-0.02987893677814693
It felt like the robot was part of my body,50ms,200ms,2.967741935483871,2.7419354838709675,0.22580645161290347,1.1257181615796845,30,0.2692102408583894,1.0,False,False,False,,0.20218495040754506
It felt like the robot was part of my body,100ms,150ms,2.870967741935484,3.0,-0.12903225806451601,-0.7505866250408015,30,0.4587485794072881,1.0,False,False,False,,-0.13480933748771082
It felt like the robot was part of my body,100ms,200ms,2.870967741935484,2.7419354838709675,0.12903225806451646,0.6262242910851493,30,0.5359039673821697,1.0,False,False,False,,0.11247320293685124
It felt like the robot was part of my body,150ms,200ms,3.0,2.7419354838709675,0.2580645161290325,1.2453467508637557,30,0.22264391878898132,1.0,False,False,False,,0.22367087931694765
